short,mid,long
-1.0,2055,36047
0.22893429,0.78959715,1.0992838
0.23111756,0.7853146,1.0992838
0.22518633,0.76325935,1.0992838
0.22365049,0.74073493,1.0992838
0.21992366,0.73199344,1.0992838
0.2220011,0.70935434,1.0992838
0.22409186,0.7027606,1.0992838
0.2217091,0.7039066,1.0992838
0.21931316,0.6915173,1.0992838
0.21901475,0.648072,1.0992838
0.21502109,0.62640667,1.0992838
0.21436107,0.60703534,1.0992838
0.21294647,0.58696383,1.0992838
0.21028036,0.59154195,1.0992838
0.20923343,0.5784031,1.0992838
0.20592995,0.5608282,1.0992838
0.20298834,0.5438154,1.0992838
0.20129935,0.5375196,1.0992838
0.19563895,0.51809746,1.0992838
0.19584851,0.50130695,1.0992838
0.19424108,0.4776945,1.0992838
0.1952813,0.46380997,1.0992838
0.19678771,0.4546877,1.0992838
0.19839965,0.4494756,1.0992838
0.19985743,0.45512414,1.0992838
0.19730353,0.46841213,1.0992838
0.2001096,0.47755697,1.0992838
0.19952378,0.47990274,1.0992838
0.20026046,0.45655468,1.0992838
0.1996675,0.45159027,1.0992838
0.20209469,0.43349952,1.0992838
0.20140389,0.44457492,1.0992838
0.20520844,0.452771,1.0992838
0.20723026,0.4619795,1.0992838
0.20668052,0.4607319,1.0992838
0.21018842,0.4650207,1.0992838
0.21265253,0.47930178,1.0992838
0.21635754,0.46452475,1.0992838
0.21922293,0.45331663,1.0992838
0.21977486,0.44540957,1.0992838
0.21994127,0.44384247,1.0992838
0.21924178,0.430655,1.0992838
0.21744266,0.43759528,1.0992838
0.2150748,0.43410024,1.0992838
0.22050692,0.4342836,1.0992838
0.22166242,0.44564262,1.0992838
0.22148801,0.4408433,1.0992838
0.22484174,0.43601996,1.0992838
0.22576225,0.42436042,1.0992838
0.2254428,0.41163868,1.0992838
0.2268501,0.39499807,1.0992838
0.22774684,0.38517803,1.0992838
0.22774437,0.40046966,1.0992838
0.23066539,0.4178713,1.0992838
0.23585655,0.42423403,1.0992838
0.23508231,0.40341341,1.0992838
0.23324896,0.40146244,1.0992838
0.23419756,0.394187,1.0992838
0.23313579,0.38319382,1.0992838
0.23712379,0.36645743,1.0992838
0.23872644,0.35680062,1.0992838
0.24119961,0.3469343,1.0992838
0.24234632,0.34341353,1.0992838
0.24362671,0.330189,1.0992838
0.24755526,0.32378978,1.0992838
0.24543256,0.32492086,1.0992838
0.24478309,0.32458767,1.0992838
0.24358575,0.31080338,1.0992838
0.24100296,0.3024004,1.0992838
0.24063368,0.28928173,1.0992838
0.2404915,0.27388895,1.0992838
0.24307467,0.27332178,1.0992838
0.24696088,0.27374354,1.0992838
0.24591807,0.26710004,1.0992838
0.24462101,0.26896468,1.0992838
0.24566199,0.27721256,1.0992838
0.24418314,0.28616217,1.0992838
0.24254195,0.3005376,1.0992838
0.24125321,0.31271228,1.0992838
0.24154279,0.32648462,1.0992838
0.24305047,0.3381587,1.0992838
0.24267824,0.34444493,1.0992838
0.24468118,0.3524476,1.0992838
0.24682754,0.35278085,1.0992838
0.24488427,0.36061448,1.0992838
0.2413159,0.36175424,1.0992838
0.24311084,0.37415466,1.0992838
0.2410094,0.38899732,1.0992838
0.24592873,0.3924211,1.0992838
0.24695465,0.404096,1.0992838
0.25007033,0.4224354,1.0992838
0.25107196,0.44744113,1.0992838
0.25393856,0.46170825,1.0992838
0.25376076,0.47487813,1.0992838
0.252776,0.479869,1.0992838
0.25251666,0.4802106,1.0992838
0.25332215,0.48136026,1.0992838
0.2569518,0.48177958,1.0992838
0.26091272,0.47651508,1.0992838
0.2605022,0.47660336,1.0992838
0.26325002,0.46649054,1.0992838
0.26438835,0.4599791,1.0992838
0.26555362,0.4487604,1.0992838
0.26450825,0.42582607,1.0992838
0.26387945,0.41796985,1.0992838
0.25834477,0.42193747,1.0992838
0.2548269,0.41598383,1.0992838
0.25410986,0.41392493,1.0992838
0.2534596,0.41254333,1.0992838
0.25053033,0.40833655,1.0992838
0.24938035,0.40101236,1.0992838
0.2484869,0.39185554,1.0992838
0.24809174,0.38211215,1.0992838
0.24563952,0.3745698,1.0992838
0.24579886,0.3722776,1.0992838
0.25058803,0.36706683,1.0992838
0.24993479,0.36649895,1.0992838
0.25060675,0.35198927,1.0992838
0.24757664,0.34779522,1.0992838
0.24813668,0.34246093,1.0992838
0.2516794,0.33297354,1.0992838
0.25287384,0.333765,1.0992838
0.25210387,0.3531997,1.0992838
0.24826516,0.33522546,1.0992838
0.24597526,0.3137017,1.0992838
0.24671395,0.2822427,1.0992838
0.24990381,0.26287854,1.0992838
0.25068763,0.2472609,1.0992838
0.24943641,0.23663999,1.0992838
0.24851488,0.23931333,1.0992838
0.24411276,0.24299592,1.0992838
0.24263646,0.24255645,1.0992838
0.24270454,0.22823858,1.0992838
0.23942053,0.2239707,1.0992838
0.2417429,0.22388259,1.0992838
0.23984052,0.22212519,1.0992838
0.23833783,0.22857767,1.0992838
0.23815356,0.23897868,1.0992838
0.23863463,0.2436478,1.0992838
0.24005137,0.24686986,1.0992838
0.23851721,0.24188942,1.0992838
0.23779307,0.23585609,1.0992838
0.2375628,0.22745526,1.0992838
0.23912613,0.22564834,1.0992838
0.24007651,0.22923613,1.0992838
0.24152718,0.22950104,1.0992838
0.24261053,0.23415203,1.0992838
0.24038522,0.23726372,1.0992838
0.2405955,0.23995292,1.0992838
0.23837726,0.24492154,1.0992838
0.2387013,0.24333411,1.0992838
0.24015386,0.24042237,1.0992838
0.24392791,0.23801485,1.0992838
0.241472,0.23961785,1.0992838
0.24043773,0.23533444,1.0992838
0.23791897,0.23456468,1.0992838
0.2364938,0.23094583,1.0992838
0.23676068,0.23108834,1.0992838
0.23726656,0.22660236,1.0992838
0.23601161,0.21922854,1.0992838
0.23955554,0.21973023,1.0992838
0.237616,0.23020159,1.0992838
0.23170617,0.23181358,1.0992838
0.23272803,0.23095185,1.0992838
0.23000772,0.23186335,1.0992838
